texto,categoria,metadados_json
"Estabelecimento de saúde: HOSPITAL DE CLINICAS SUL. Código CNES: 0026417. Localização: SAO JOSE DOS CAMPOS, São Paulo (SP). Tipo de unidade: HOSPITAL GERAL. Natureza jurídica: HOSPITAL_PÚBLICO. Porte: Médio.",entidade_hospital,"{""categoria"": ""entidade_hospital"", ""cnes"": ""0026417"", ""nome_oficial_tabela"": ""HOSPITAL DE CLINICAS SUL"", ""uf"": ""SP"", ""municipio"": ""SAO JOSE DOS CAMPOS"", ""desabilitado"": false}"
"Estabelecimento de saúde: LA SERENITE. Código CNES: 0042021. Localização: CACAPAVA, São Paulo (SP). Tipo de unidade: HOSPITAL ESPECIALIZADO. Natureza jurídica: HOSPITAL_PRIVADO. Porte: Pequeno.",entidade_hospital,"{""categoria"": ""entidade_hospital"", ""cnes"": ""0042021"", ""nome_oficial_tabela"": ""LA SERENITE"", ""uf"": ""SP"", ""municipio"": ""CACAPAVA"", ""desabilitado"": false}"
"Estabelecimento de saúde: HOSPITAL FUNDACAO PENTEADO RIBEIRAO PRETO. Código CNES: 0080470. Localização: RIBEIRAO PRETO, São Paulo (SP). Tipo de unidade: HOSPITAL GERAL. Natureza jurídica: HOSPITAL_FILANTRÓPICO. Porte: Pequeno.",entidade_hospital,"{""categoria"": ""entidade_hospital"", ""cnes"": ""0080470"", ""nome_oficial_tabela"": ""HOSPITAL FUNDACAO PENTEADO RIBEIRAO PRETO"", ""uf"": ""SP"", ""municipio"": ""RIBEIRAO PRETO"", ""desabilitado"": false}"
"Estabelecimento de saúde: HOSPITAL UNIMED BOTUCATU II. Código CNES: 0081825. Localização: BOTUCATU, São Paulo (SP). Tipo de unidade: HOSPITAL GERAL. Natureza jurídica: HOSPITAL_PRIVADO. Porte: Médio.",entidade_hospital,"{""categoria"": ""entidade_hospital"", ""cnes"": ""0081825"", ""nome_oficial_tabela"": ""HOSPITAL UNIMED BOTUCATU II"", ""uf"": ""SP"", ""municipio"": ""BOTUCATU"", ""desabilitado"": false}"
"Estabelecimento de saúde: HOSPITAL REGIONAL DO LITORAL NORTE. Código CNES: 0092894. Localização: CARAGUATATUBA, São Paulo (SP). Tipo de unidade: HOSPITAL GERAL. Natureza jurídica: HOSPITAL_PÚBLICO. Porte: Grande.",entidade_hospital,"{""categoria"": ""entidade_hospital"", ""cnes"": ""0092894"", ""nome_oficial_tabela"": ""HOSPITAL REGIONAL DO LITORAL NORTE"", ""uf"": ""SP"", ""municipio"": ""CARAGUATATUBA"", ""desabilitado"": false}"
"Estabelecimento de saúde: HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES. Código CNES: 0102075. Localização: SAO PAULO, São Paulo (SP). Tipo de unidade: HOSPITAL GERAL. Natureza jurídica: HOSPITAL_PÚBLICO. Porte: Médio. Também já foi registrado nos cadastros com o(s) nome(s): HOSPITAL MUNICIPAL BELA VISTA SANTA DULCE DOS POBRES; HOSPITAL MUNICIPAL DA BELA VISTA SANTA DULCE DOS POBRES.",entidade_hospital,"{""categoria"": ""entidade_hospital"", ""cnes"": ""0102075"", ""nome_oficial_tabela"": ""HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES"", ""uf"": ""SP"", ""municipio"": ""SAO PAULO"", ""desabilitado"": false}"
"Estabelecimento de saúde: HOSPITAL MUNICIPAL BRASILANDIA. Código CNES: 0102105. Localização: SAO PAULO, São Paulo (SP). Tipo de unidade: HOSPITAL GERAL. Natureza jurídica: HOSPITAL_PÚBLICO. Porte: Grande.",entidade_hospital,"{""categoria"": ""entidade_hospital"", ""cnes"": ""0102105"", ""nome_oficial_tabela"": ""HOSPITAL MUNICIPAL BRASILANDIA"", ""uf"": ""SP"", ""municipio"": ""SAO PAULO"", ""desabilitado"": false}"
"Estabelecimento de saúde: HOSPITAL DE CAMPANHA POSTO AVANCADO COVID 19. Código CNES: 0105120. Localização: BAURU, São Paulo (SP). Tipo de unidade: HOSPITAL GERAL. Natureza jurídica: HOSPITAL_PÚBLICO. Porte: Pequeno.",entidade_hospital,"{""categoria"": ""entidade_hospital"", ""cnes"": ""0105120"", ""nome_oficial_tabela"": ""HOSPITAL DE CAMPANHA POSTO AVANCADO COVID 19"", ""uf"": ""SP"", ""municipio"": ""BAURU"", ""desabilitado"": false}"
"Estabelecimento de saúde: HOSPITAL DE CLINICAS ANJO GABRIEL. Código CNES: 0115509. Localização: MAIRIPORA, São Paulo (SP). Tipo de unidade: HOSPITAL GERAL. Natureza jurídica: HOSPITAL_PÚBLICO. Porte: Médio.",entidade_hospital,"{""categoria"": ""entidade_hospital"", ""cnes"": ""0115509"", ""nome_oficial_tabela"": ""HOSPITAL DE CLINICAS ANJO GABRIEL"", ""uf"": ""SP"", ""municipio"": ""MAIRIPORA"", ""desabilitado"": false}"
"Estabelecimento de saúde: HOSPITAL DE RETAGUARDA DO JARDIM PAULISTA. Código CNES: 0127604. Localização: BARUERI, São Paulo (SP). Tipo de unidade: HOSPITAL GERAL. Natureza jurídica: HOSPITAL_PÚBLICO. Porte: Médio.",entidade_hospital,"{""categoria"": ""entidade_hospital"", ""cnes"": ""0127604"", ""nome_oficial_tabela"": ""HOSPITAL DE RETAGUARDA DO JARDIM PAULISTA"", ""uf"": ""SP"", ""municipio"": ""BARUERI"", ""desabilitado"": false}"
