texto,categoria,metadados_json
"Óbitos hospitalares registrados no SIH em Ceará durante 2023, por mês: janeiro: 1924, fevereiro: 1811, março: 1848, abril: 1926, maio: 2094, junho: 1902, julho: 1922, agosto: 1848, setembro: 1826, outubro: 1779, novembro: 1874, dezembro: 1806. Total de óbitos no ano: 22560.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Ceará"", ""co_uf_ibge"": 23, ""ano"": 2023}"
"Óbitos hospitalares registrados no SIH em Ceará durante 2024, por mês: janeiro: 1978, fevereiro: 1735, março: 1822, abril: 2144, maio: 2172, junho: 2077, julho: 1991, agosto: 2066, setembro: 2113, outubro: 2045, novembro: 1746, dezembro: 1930. Total de óbitos no ano: 23819.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Ceará"", ""co_uf_ibge"": 23, ""ano"": 2024}"
"Óbitos hospitalares registrados no SIH em Ceará durante 2025, por mês: janeiro: 2113, fevereiro: 1857, março: 1928, abril: 1934, maio: 2226, junho: 1894, julho: 1943, agosto: 1925, setembro: 2112, outubro: 1946, novembro: 1806, dezembro: 1924. Total de óbitos no ano: 23608.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Ceará"", ""co_uf_ibge"": 23, ""ano"": 2025}"
"Óbitos hospitalares registrados no SIH em Distrito Federal durante 2023, por mês: janeiro: 549, fevereiro: 507, março: 615, abril: 564, maio: 547, junho: 629, julho: 613, agosto: 573, setembro: 578, outubro: 602, novembro: 592, dezembro: 594. Total de óbitos no ano: 6963.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Distrito Federal"", ""co_uf_ibge"": 53, ""ano"": 2023}"
"Óbitos hospitalares registrados no SIH em Distrito Federal durante 2024, por mês: janeiro: 653, fevereiro: 581, março: 610, abril: 651, maio: 653, junho: 562, julho: 615, agosto: 630, setembro: 574, outubro: 571, novembro: 554, dezembro: 525. Total de óbitos no ano: 7179.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Distrito Federal"", ""co_uf_ibge"": 53, ""ano"": 2024}"
"Óbitos hospitalares registrados no SIH em Distrito Federal durante 2025, por mês: janeiro: 652, fevereiro: 505, março: 590, abril: 516, maio: 599, junho: 577, julho: 664, agosto: 603, setembro: 633, outubro: 603, novembro: 548, dezembro: 576. Total de óbitos no ano: 7066.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Distrito Federal"", ""co_uf_ibge"": 53, ""ano"": 2025}"
"Óbitos hospitalares registrados no SIH em Espírito Santo durante 2023, por mês: janeiro: 987, fevereiro: 781, março: 974, abril: 909, maio: 933, junho: 1010, julho: 996, agosto: 1082, setembro: 999, outubro: 1090, novembro: 968, dezembro: 929. Total de óbitos no ano: 11658.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Espírito Santo"", ""co_uf_ibge"": 32, ""ano"": 2023}"
"Óbitos hospitalares registrados no SIH em Espírito Santo durante 2024, por mês: janeiro: 908, fevereiro: 890, março: 970, abril: 1001, maio: 1027, junho: 1070, julho: 1059, agosto: 983, setembro: 1014, outubro: 1080, novembro: 964, dezembro: 1002. Total de óbitos no ano: 11968.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Espírito Santo"", ""co_uf_ibge"": 32, ""ano"": 2024}"
"Óbitos hospitalares registrados no SIH em Espírito Santo durante 2025, por mês: janeiro: 922, fevereiro: 926, março: 1020, abril: 870, maio: 1154, junho: 1121, julho: 1113, agosto: 1167, setembro: 1070, outubro: 1138, novembro: 985, dezembro: 1038. Total de óbitos no ano: 12524.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Espírito Santo"", ""co_uf_ibge"": 32, ""ano"": 2025}"
"Óbitos hospitalares registrados no SIH em Goiás durante 2023, por mês: janeiro: 1288, fevereiro: 1129, março: 1359, abril: 1274, maio: 1375, junho: 1171, julho: 1365, agosto: 1295, setembro: 1257, outubro: 1263, novembro: 1285, dezembro: 1243. Total de óbitos no ano: 15304.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Goiás"", ""co_uf_ibge"": 52, ""ano"": 2023}"
"Óbitos hospitalares registrados no SIH em Goiás durante 2024, por mês: janeiro: 1226, fevereiro: 1176, março: 1306, abril: 1427, maio: 1405, junho: 1331, julho: 1454, agosto: 1385, setembro: 1377, outubro: 1320, novembro: 1181, dezembro: 1332. Total de óbitos no ano: 15920.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Goiás"", ""co_uf_ibge"": 52, ""ano"": 2024}"
"Óbitos hospitalares registrados no SIH em Goiás durante 2025, por mês: janeiro: 1398, fevereiro: 1246, março: 1407, abril: 1212, maio: 1506, junho: 1447, julho: 1547, agosto: 1449, setembro: 1344, outubro: 1394, novembro: 1260, dezembro: 1274. Total de óbitos no ano: 16484.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Goiás"", ""co_uf_ibge"": 52, ""ano"": 2025}"
"Óbitos hospitalares registrados no SIH em Maranhão durante 2023, por mês: janeiro: 1159, fevereiro: 1172, março: 1092, abril: 1107, maio: 1242, junho: 1176, julho: 1228, agosto: 1076, setembro: 1163, outubro: 1032, novembro: 1189, dezembro: 1137. Total de óbitos no ano: 13773.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Maranhão"", ""co_uf_ibge"": 21, ""ano"": 2023}"
"Óbitos hospitalares registrados no SIH em Maranhão durante 2024, por mês: janeiro: 1293, fevereiro: 1098, março: 1206, abril: 1218, maio: 1355, junho: 1205, julho: 1230, agosto: 1119, setembro: 1186, outubro: 1243, novembro: 1150, dezembro: 1230. Total de óbitos no ano: 14533.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Maranhão"", ""co_uf_ibge"": 21, ""ano"": 2024}"
"Óbitos hospitalares registrados no SIH em Maranhão durante 2025, por mês: janeiro: 1243, fevereiro: 1160, março: 1251, abril: 1195, maio: 1354, junho: 1394, julho: 1313, agosto: 1250, setembro: 1289, outubro: 1234, novembro: 1182, dezembro: 1251. Total de óbitos no ano: 15116.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Maranhão"", ""co_uf_ibge"": 21, ""ano"": 2025}"
"Óbitos hospitalares registrados no SIH em Mato Grosso durante 2023, por mês: janeiro: 530, fevereiro: 528, março: 592, abril: 595, maio: 635, junho: 628, julho: 582, agosto: 596, setembro: 626, outubro: 562, novembro: 593, dezembro: 512. Total de óbitos no ano: 6979.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Mato Grosso"", ""co_uf_ibge"": 51, ""ano"": 2023}"
"Óbitos hospitalares registrados no SIH em Mato Grosso durante 2024, por mês: janeiro: 622, fevereiro: 546, março: 617, abril: 645, maio: 736, junho: 678, julho: 746, agosto: 799, setembro: 688, outubro: 691, novembro: 607, dezembro: 617. Total de óbitos no ano: 7992.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Mato Grosso"", ""co_uf_ibge"": 51, ""ano"": 2024}"
"Óbitos hospitalares registrados no SIH em Mato Grosso durante 2025, por mês: janeiro: 759, fevereiro: 637, março: 816, abril: 659, maio: 774, junho: 781, julho: 773, agosto: 679, setembro: 680, outubro: 636, novembro: 683, dezembro: 593. Total de óbitos no ano: 8470.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Mato Grosso"", ""co_uf_ibge"": 51, ""ano"": 2025}"
"Óbitos hospitalares registrados no SIH em Mato Grosso do Sul durante 2023, por mês: janeiro: 671, fevereiro: 690, março: 712, abril: 756, maio: 706, junho: 695, julho: 702, agosto: 832, setembro: 664, outubro: 730, novembro: 759, dezembro: 762. Total de óbitos no ano: 8679.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Mato Grosso do Sul"", ""co_uf_ibge"": 50, ""ano"": 2023}"
