texto,categoria,metadados_json
"Em 2025, o estado de Amazonas registrou 264.482 internações pelo SUS, com 8.220 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 3,11%). O valor total gasto com internações foi de R$ 321.518.423,24, com gasto médio de R$ 1.215,65 por internação. A permanência média foi de 4,6 dias. O estado contava com 112 hospitais e 17,7 leitos por 10 mil habitantes, para uma população estimada de 4.321.616 habitantes. Em relação a 2024, houve aumento de 17,0% no número de internações.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Amazonas"", ""co_uf_ibge"": 13, ""ano"": 2025}"
"Em 2023, o estado de Bahia registrou 893.953 internações pelo SUS, com 34.536 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 3,86%). O valor total gasto com internações foi de R$ 1.172.359.754,83, com gasto médio de R$ 1.311,43 por internação. A permanência média foi de 4,7 dias. O estado contava com 624 hospitais e 22,5 leitos por 10 mil habitantes, para uma população estimada de 14.828.806 habitantes.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Bahia"", ""co_uf_ibge"": 29, ""ano"": 2023}"
"Em 2024, o estado de Bahia registrou 942.814 internações pelo SUS, com 36.679 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 3,89%). O valor total gasto com internações foi de R$ 1.256.991.152,85, com gasto médio de R$ 1.333,23 por internação. A permanência média foi de 4,7 dias. O estado contava com 627 hospitais e 22,8 leitos por 10 mil habitantes, para uma população estimada de 14.850.513 habitantes. Em relação a 2023, houve aumento de 5,5% no número de internações.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Bahia"", ""co_uf_ibge"": 29, ""ano"": 2024}"
"Em 2025, o estado de Bahia registrou 959.081 internações pelo SUS, com 37.526 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 3,91%). O valor total gasto com internações foi de R$ 1.362.492.312,62, com gasto médio de R$ 1.420,62 por internação. A permanência média foi de 4,7 dias. O estado contava com 626 hospitais e 22,8 leitos por 10 mil habitantes, para uma população estimada de 14.870.907 habitantes. Em relação a 2024, houve aumento de 1,7% no número de internações.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Bahia"", ""co_uf_ibge"": 29, ""ano"": 2025}"
"Em 2023, o estado de Ceará registrou 553.695 internações pelo SUS, com 22.560 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 4,07%). O valor total gasto com internações foi de R$ 764.218.302,66, com gasto médio de R$ 1.380,22 por internação. A permanência média foi de 5,9 dias. O estado contava com 311 hospitais e 23,1 leitos por 10 mil habitantes, para uma população estimada de 9.196.672 habitantes.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Ceará"", ""co_uf_ibge"": 23, ""ano"": 2023}"
"Em 2024, o estado de Ceará registrou 582.335 internações pelo SUS, com 23.819 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 4,09%). O valor total gasto com internações foi de R$ 847.978.907,74, com gasto médio de R$ 1.456,17 por internação. A permanência média foi de 5,8 dias. O estado contava com 310 hospitais e 23,2 leitos por 10 mil habitantes, para uma população estimada de 9.233.656 habitantes. Em relação a 2023, houve aumento de 5,2% no número de internações.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Ceará"", ""co_uf_ibge"": 23, ""ano"": 2024}"
"Em 2025, o estado de Ceará registrou 593.254 internações pelo SUS, com 23.608 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 3,98%). O valor total gasto com internações foi de R$ 931.599.828,93, com gasto médio de R$ 1.570,32 por internação. A permanência média foi de 5,8 dias. O estado contava com 319 hospitais e 24,3 leitos por 10 mil habitantes, para uma população estimada de 9.268.836 habitantes. Em relação a 2024, houve aumento de 1,9% no número de internações.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Ceará"", ""co_uf_ibge"": 23, ""ano"": 2025}"
"Em 2023, o estado de Distrito Federal registrou 236.343 internações pelo SUS, com 6.963 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 2,95%). O valor total gasto com internações foi de R$ 345.835.020,43, com gasto médio de R$ 1.463,28 por internação. A permanência média foi de 5,8 dias. O estado contava com 72 hospitais e 34,1 leitos por 10 mil habitantes, para uma população estimada de 2.967.543 habitantes.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Distrito Federal"", ""co_uf_ibge"": 53, ""ano"": 2023}"
"Em 2024, o estado de Distrito Federal registrou 247.068 internações pelo SUS, com 7.179 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 2,91%). O valor total gasto com internações foi de R$ 391.038.880,93, com gasto médio de R$ 1.582,72 por internação. A permanência média foi de 5,7 dias. O estado contava com 71 hospitais e 35,8 leitos por 10 mil habitantes, para uma população estimada de 2.982.818 habitantes. Em relação a 2023, houve aumento de 4,5% no número de internações.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Distrito Federal"", ""co_uf_ibge"": 53, ""ano"": 2024}"
"Em 2025, o estado de Distrito Federal registrou 247.901 internações pelo SUS, com 7.066 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 2,85%). O valor total gasto com internações foi de R$ 422.873.992,71, com gasto médio de R$ 1.705,82 por internação. A permanência média foi de 5,8 dias. O estado contava com 69 hospitais e 35,1 leitos por 10 mil habitantes, para uma população estimada de 2.996.899 habitantes. Em relação a 2024, houve aumento de 0,3% no número de internações.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Distrito Federal"", ""co_uf_ibge"": 53, ""ano"": 2025}"
"Em 2023, o estado de Espírito Santo registrou 288.108 internações pelo SUS, com 11.658 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 4,05%). O valor total gasto com internações foi de R$ 483.520.544,57, com gasto médio de R$ 1.678,26 por internação. A permanência média foi de 5,0 dias. O estado contava com 116 hospitais e 24,1 leitos por 10 mil habitantes, para uma população estimada de 4.076.068 habitantes.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Espírito Santo"", ""co_uf_ibge"": 32, ""ano"": 2023}"
"Em 2024, o estado de Espírito Santo registrou 306.748 internações pelo SUS, com 11.968 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 3,90%). O valor total gasto com internações foi de R$ 533.409.041,22, com gasto médio de R$ 1.738,92 por internação. A permanência média foi de 4,9 dias. O estado contava com 114 hospitais e 24,7 leitos por 10 mil habitantes, para uma população estimada de 4.102.129 habitantes. Em relação a 2023, houve aumento de 6,5% no número de internações.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Espírito Santo"", ""co_uf_ibge"": 32, ""ano"": 2024}"
"Em 2025, o estado de Espírito Santo registrou 320.495 internações pelo SUS, com 12.524 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 3,91%). O valor total gasto com internações foi de R$ 564.342.491,38, com gasto médio de R$ 1.760,85 por internação. A permanência média foi de 4,8 dias. O estado contava com 114 hospitais e 24,8 leitos por 10 mil habitantes, para uma população estimada de 4.126.854 habitantes. Em relação a 2024, houve aumento de 4,5% no número de internações.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Espírito Santo"", ""co_uf_ibge"": 32, ""ano"": 2025}"
"Em 2023, o estado de Goiás registrou 414.943 internações pelo SUS, com 15.304 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 3,69%). O valor total gasto com internações foi de R$ 583.890.520,93, com gasto médio de R$ 1.407,16 por internação. A permanência média foi de 4,7 dias. O estado contava com 450 hospitais e 28,2 leitos por 10 mil habitantes, para uma população estimada de 7.274.463 habitantes.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Goiás"", ""co_uf_ibge"": 52, ""ano"": 2023}"
"Em 2024, o estado de Goiás registrou 442.129 internações pelo SUS, com 15.920 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 3,60%). O valor total gasto com internações foi de R$ 652.975.369,42, com gasto médio de R$ 1.476,89 por internação. A permanência média foi de 4,6 dias. O estado contava com 451 hospitais e 27,4 leitos por 10 mil habitantes, para uma população estimada de 7.350.483 habitantes. Em relação a 2023, houve aumento de 6,6% no número de internações.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Goiás"", ""co_uf_ibge"": 52, ""ano"": 2024}"
"Em 2025, o estado de Goiás registrou 457.403 internações pelo SUS, com 16.484 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 3,60%). O valor total gasto com internações foi de R$ 744.189.222,48, com gasto médio de R$ 1.626,99 por internação. A permanência média foi de 4,6 dias. O estado contava com 453 hospitais e 27,4 leitos por 10 mil habitantes, para uma população estimada de 7.423.629 habitantes. Em relação a 2024, houve aumento de 3,5% no número de internações.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Goiás"", ""co_uf_ibge"": 52, ""ano"": 2025}"
"Em 2023, o estado de Maranhão registrou 479.680 internações pelo SUS, com 13.773 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 2,87%). O valor total gasto com internações foi de R$ 476.784.796,55, com gasto médio de R$ 993,96 por internação. A permanência média foi de 5,0 dias. O estado contava com 316 hospitais e 23,9 leitos por 10 mil habitantes, para uma população estimada de 7.003.234 habitantes.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Maranhão"", ""co_uf_ibge"": 21, ""ano"": 2023}"
"Em 2024, o estado de Maranhão registrou 495.591 internações pelo SUS, com 14.533 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 2,93%). O valor total gasto com internações foi de R$ 531.724.417,19, com gasto médio de R$ 1.072,91 por internação. A permanência média foi de 5,1 dias. O estado contava com 316 hospitais e 23,5 leitos por 10 mil habitantes, para uma população estimada de 7.010.960 habitantes. Em relação a 2023, houve aumento de 3,3% no número de internações.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Maranhão"", ""co_uf_ibge"": 21, ""ano"": 2024}"
"Em 2025, o estado de Maranhão registrou 504.682 internações pelo SUS, com 15.116 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 3,00%). O valor total gasto com internações foi de R$ 565.510.612,18, com gasto médio de R$ 1.120,53 por internação. A permanência média foi de 5,0 dias. O estado contava com 323 hospitais e 24,1 leitos por 10 mil habitantes, para uma população estimada de 7.018.211 habitantes. Em relação a 2024, houve aumento de 1,8% no número de internações.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Maranhão"", ""co_uf_ibge"": 21, ""ano"": 2025}"
"Em 2023, o estado de Mato Grosso registrou 224.815 internações pelo SUS, com 6.979 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 3,10%). O valor total gasto com internações foi de R$ 267.072.817,03, com gasto médio de R$ 1.187,97 por internação. A permanência média foi de 4,3 dias. O estado contava com 177 hospitais e 24,1 leitos por 10 mil habitantes, para uma população estimada de 3.778.389 habitantes.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Mato Grosso"", ""co_uf_ibge"": 51, ""ano"": 2023}"
