 Projeção da População das Unidades da Federação por sexo, idade simples ou faixa-etária: 2000-2070 (edição 2024)
População residente por Unidade da Federação e Ano
Período:2023
"Unidade da Federação";"2023";"Total"
"11 Rondônia";1740255;1740255
"12 Acre";876582;876582
"13 Amazonas";4240571;4240571
"14 Roraima";695270;695270
"15 Pará";8616120;8616120
"16 Amapá";799124;799124
"17 Tocantins";1567191;1567191
"21 Maranhão";7003234;7003234
"22 Piauí";3365881;3365881
"23 Ceará";9196672;9196672
"24 Rio Grande do Norte";3436278;3436278
"25 Paraíba";4124468;4124468
"26 Pernambuco";9514483;9514483
"27 Alagoas";3218607;3218607
"28 Sergipe";2281994;2281994
"29 Bahia";14828806;14828806
"31 Minas Gerais";21247401;21247401
"32 Espírito Santo";4076068;4076068
"33 Rio de Janeiro";17213813;17213813
"35 São Paulo";45850570;45850570
"41 Paraná";11753862;11753862
"42 Santa Catarina";7927212;7927212
"43 Rio Grande do Sul";11222292;11222292
"50 Mato Grosso do Sul";2878009;2878009
"51 Mato Grosso";3778389;3778389
"52 Goiás";7274463;7274463
"53 Distrito Federal";2967543;2967543
"Total";211695158;211695158
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2070 (edição 2024)
 
