 Projeção da População das Unidades da Federação por sexo, idade simples ou faixa-etária: 2000-2070 (edição 2024)
População residente por Unidade da Federação e Ano
Período:2025
"Unidade da Federação";"2025";"Total"
"11 Rondônia";1751950;1751950
"12 Acre";884372;884372
"13 Amazonas";4321616;4321616
"14 Roraima";738772;738772
"15 Pará";8711196;8711196
"16 Amapá";806517;806517
"17 Tocantins";1586859;1586859
"21 Maranhão";7018211;7018211
"22 Piauí";3384547;3384547
"23 Ceará";9268836;9268836
"24 Rio Grande do Norte";3455236;3455236
"25 Paraíba";4164468;4164468
"26 Pernambuco";9562007;9562007
"27 Alagoas";3220848;3220848
"28 Sergipe";2299425;2299425
"29 Bahia";14870907;14870907
"31 Minas Gerais";21393441;21393441
"32 Espírito Santo";4126854;4126854
"33 Rio de Janeiro";17223547;17223547
"35 São Paulo";46081801;46081801
"41 Paraná";11890584;11890584
"42 Santa Catarina";8186962;8186962
"43 Rio Grande do Sul";11233263;11233263
"50 Mato Grosso do Sul";2924631;2924631
"51 Mato Grosso";3893659;3893659
"52 Goiás";7423629;7423629
"53 Distrito Federal";2996899;2996899
"Total";213421037;213421037
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2070 (edição 2024)
 
