Ano;Mes;Fonte;Indicador;Unidade_Federacao;Valor;Arquivo_Origem
2023;4.0;SIH;Valor total;52 Goiás;46245902,31;sih_cnv_niuf085838187_109_40_194.csv
2023;4.0;SIH;Valor total;53 Distrito Federal;27771530,46;sih_cnv_niuf085838187_109_40_194.csv
2023;4.0;SIH;Dias permanência;11 Rondônia;50078,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;12 Acre;23151,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;13 Amazonas;82121,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;14 Roraima;28794,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;15 Pará;188419,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;16 Amapá;20707,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;17 Tocantins;46168,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;21 Maranhão;188958,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;22 Piauí;91357,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;23 Ceará;272699,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;24 Rio Grande do Norte;82482,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;25 Paraíba;103176,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;26 Pernambuco;257921,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;27 Alagoas;69021,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;28 Sergipe;49396,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;29 Bahia;347600,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;31 Minas Gerais;567670,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;32 Espírito Santo;116409,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;33 Rio de Janeiro;444051,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;35 São Paulo;1143544,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;41 Paraná;327181,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;42 Santa Catarina;206319,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;43 Rio Grande do Sul;387372,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;50 Mato Grosso do Sul;84376,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;51 Mato Grosso;81942,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;52 Goiás;161929,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Dias permanência;53 Distrito Federal;108084,0;sih_cnv_niuf085843187_109_40_194.csv
2023;4.0;SIH;Média permanência;11 Rondônia;4,6;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;12 Acre;4,6;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;13 Amazonas;4,8;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;14 Roraima;6,4;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;15 Pará;4,3;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;16 Amapá;3,9;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;17 Tocantins;5,4;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;21 Maranhão;5,0;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;22 Piauí;5,1;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;23 Ceará;5,9;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;24 Rio Grande do Norte;5,1;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;25 Paraíba;5,5;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;26 Pernambuco;5,3;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;27 Alagoas;5,8;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;28 Sergipe;5,5;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;29 Bahia;4,8;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;31 Minas Gerais;4,9;sih_cnv_niuf085849187_72_164_185.csv
