NOME_UF,ANO_REF,TOTAL_LEITOS_EXISTENTES,TOTAL_LEITOS_SUS,QTD_ESTABELECIMENTOS,POPULACAO,CO_UF_IBGE,LEITOS_POR_10K_HAB,TOTAL_OBITOS,OBITOS_POR_10K_HAB
Rondônia,2025,5936,4681,113,1751950.0,11,33.8822454978738,4344.0,24.795228174320044
Roraima,2023,1563,1398,21,695270.0,14,22.48047521106908,1450.0,20.85520732952666
Roraima,2024,1605,1429,21,716793.0,14,22.391401701746528,1123.0,15.667005676673739
Roraima,2025,1680,1466,20,738772.0,14,22.74043954020997,1021.0,13.820231411044274
Santa Catarina,2023,17647,12846,230,7927212.0,42,22.261294386979937,23695.0,29.89071063067318
Santa Catarina,2024,17915,13159,232,8058441.0,42,22.23134722956959,25863.0,32.09429714755
Santa Catarina,2025,18363,13392,243,8186962.0,42,22.429565448086848,26346.0,32.18043518462648
Sergipe,2023,3766,2782,51,2281994.0,28,16.503110875839287,5561.0,24.369038656543356
Sergipe,2024,3841,2837,52,2291077.0,28,16.7650410702041,5743.0,25.066813555371553
Sergipe,2025,4275,3146,55,2299425.0,28,18.59160442284484,5756.0,25.032345042782435
São Paulo,2023,108413,61529,998,45850570.0,35,23.64485327009021,137800.0,30.054151998546583
São Paulo,2024,108951,61828,1015,45973194.0,35,23.69881022406231,147924.0,32.17614160112521
São Paulo,2025,110147,61862,1023,46081801.0,35,23.90249460953143,147986.0,32.11376222036114
Tocantins,2023,3724,2795,76,1567191.0,17,23.762259992559937,3194.0,20.38041310854899
Tocantins,2024,3778,2813,76,1577342.0,17,23.951685810686584,3623.0,22.96902003497022
Tocantins,2025,3856,2963,78,1586859.0,17,24.299575450622896,3821.0,24.079013951460084
