OBITOS,CO_UF_IBGE,NOME_UF,ANO_REF,MES_REF
987.0,32,Espírito Santo,2023,1
4757.0,33,Rio de Janeiro,2023,1
11144.0,35,São Paulo,2023,1
3283.0,41,Paraná,2023,1
2039.0,42,Santa Catarina,2023,1
3455.0,43,Rio Grande do Sul,2023,1
671.0,50,Mato Grosso do Sul,2023,1
530.0,51,Mato Grosso,2023,1
1288.0,52,Goiás,2023,1
549.0,53,Distrito Federal,2023,1
211.0,11,Rondônia,2023,2
141.0,12,Acre,2023,2
619.0,13,Amazonas,2023,2
120.0,14,Roraima,2023,2
1189.0,15,Pará,2023,2
132.0,16,Amapá,2023,2
221.0,17,Tocantins,2023,2
1172.0,21,Maranhão,2023,2
595.0,22,Piauí,2023,2
1811.0,23,Ceará,2023,2
533.0,24,Rio Grande do Norte,2023,2
862.0,25,Paraíba,2023,2
2035.0,26,Pernambuco,2023,2
596.0,27,Alagoas,2023,2
411.0,28,Sergipe,2023,2
2709.0,29,Bahia,2023,2
4984.0,31,Minas Gerais,2023,2
781.0,32,Espírito Santo,2023,2
4145.0,33,Rio de Janeiro,2023,2
9883.0,35,São Paulo,2023,2
2908.0,41,Paraná,2023,2
1938.0,42,Santa Catarina,2023,2
3082.0,43,Rio Grande do Sul,2023,2
690.0,50,Mato Grosso do Sul,2023,2
528.0,51,Mato Grosso,2023,2
1129.0,52,Goiás,2023,2
507.0,53,Distrito Federal,2023,2
417.0,11,Rondônia,2023,3
152.0,12,Acre,2023,3
665.0,13,Amazonas,2023,3
175.0,14,Roraima,2023,3
1269.0,15,Pará,2023,3
126.0,16,Amapá,2023,3
192.0,17,Tocantins,2023,3
1092.0,21,Maranhão,2023,3
661.0,22,Piauí,2023,3
1848.0,23,Ceará,2023,3
621.0,24,Rio Grande do Norte,2023,3
927.0,25,Paraíba,2023,3
2349.0,26,Pernambuco,2023,3
598.0,27,Alagoas,2023,3
424.0,28,Sergipe,2023,3
2672.0,29,Bahia,2023,3
5663.0,31,Minas Gerais,2023,3
974.0,32,Espírito Santo,2023,3
4715.0,33,Rio de Janeiro,2023,3
11363.0,35,São Paulo,2023,3
3162.0,41,Paraná,2023,3
